IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
OFELIA,KOBIETA,7
MARIE,KOBIETA,7
MIIA,KOBIETA,7
SŁAWA,KOBIETA,7
YANA,KOBIETA,7
ZORIANA,KOBIETA,6
ALDONA,KOBIETA,6
PAMELA,KOBIETA,6
NATALIE,KOBIETA,6
LANA,KOBIETA,6
KAYLA,KOBIETA,6
CELIA,KOBIETA,6
FRANCESCA,KOBIETA,6
CHIARA,KOBIETA,6
LEAH,KOBIETA,6
NAWOJKA,KOBIETA,6
HANIA,KOBIETA,6
EMILI,KOBIETA,6
LUDWIKA,KOBIETA,6
VALERIIA,KOBIETA,6
FILOMENA,KOBIETA,6
LIANA,KOBIETA,6
SABRINA,KOBIETA,6
SOFIYA,KOBIETA,6
SOFIE,KOBIETA,6
LILLI,KOBIETA,6
LUISA,KOBIETA,6
KAMELIA,KOBIETA,6
LEIA,KOBIETA,6
KORA,KOBIETA,6
SYNTIA,KOBIETA,6
AYLIN,KOBIETA,6
JOSEPHINE,KOBIETA,6
LIYA,KOBIETA,6
YULIIA,KOBIETA,6
MALIKA,KOBIETA,6
TULIA,KOBIETA,6
ANATOLA,KOBIETA,6
JANKA,KOBIETA,6
SCARLETT,KOBIETA,5
NILA,KOBIETA,5
WIERA,KOBIETA,5
MARYAM,KOBIETA,5
ISABEL,KOBIETA,5
WERA,KOBIETA,5
INGRID,KOBIETA,5
OKSANA,KOBIETA,5
LEONIE,KOBIETA,5
ALMA,KOBIETA,5
ENOLA,KOBIETA,5
BERNADETA,KOBIETA,5
AMY,KOBIETA,5
VIVIANA,KOBIETA,5
ELA,KOBIETA,5
AVA,KOBIETA,5
ZYTA,KOBIETA,5
RAISA,KOBIETA,5
LORENA,KOBIETA,5
IVANNA,KOBIETA,5
WANESA,KOBIETA,5
LEJLA,KOBIETA,5
JESSIKA,KOBIETA,5
EKATERINA,KOBIETA,5
ŻYWIA,KOBIETA,5
PIA,KOBIETA,5
ANABELLA,KOBIETA,5
PELAGIA,KOBIETA,5
DAGNA,KOBIETA,5
MARISA,KOBIETA,5
MARTINA,KOBIETA,5
FLORIANNA,KOBIETA,5
ADELE,KOBIETA,5
LUCY,KOBIETA,5
AMELIE,KOBIETA,4
RAMONA,KOBIETA,4
NIKOLE,KOBIETA,4
IRYNA,KOBIETA,4
RONJA,KOBIETA,4
ULIANA,KOBIETA,4
NELLI,KOBIETA,4
CHANEL,KOBIETA,4
KLAUDYNA,KOBIETA,4
ANHELINA,KOBIETA,4
TEONA,KOBIETA,4
MELODIA,KOBIETA,4
GRACE,KOBIETA,4
MANUELA,KOBIETA,4
LETICIA,KOBIETA,4
LEJA,KOBIETA,4
KASJANA,KOBIETA,4
MARHARYTA,KOBIETA,4
ROSA,KOBIETA,4
CYNTIA,KOBIETA,4
ANDREA,KOBIETA,4
LARISA,KOBIETA,4
LILITH,KOBIETA,4
AMBER,KOBIETA,4
AMALIA,KOBIETA,4
MARIAM,KOBIETA,4
KATRINA,KOBIETA,4
MARYNA,KOBIETA,4
KAIA,KOBIETA,4
MAIIA,KOBIETA,4
ILARIIA,KOBIETA,4
AFINA,KOBIETA,4
IVANKA,KOBIETA,4
ANNABELLE,KOBIETA,4
SALMA,KOBIETA,4
MERCEDES,KOBIETA,4
MYROSLAVA,KOBIETA,4
ZARA,KOBIETA,4
FLAWIA,KOBIETA,4
ATENA,KOBIETA,4
ELZA,KOBIETA,4
JENNIFER,KOBIETA,4
MIKAELA,KOBIETA,4
SIENNA,KOBIETA,4
FREJA,KOBIETA,4
KARMEN,KOBIETA,4
ARYA,KOBIETA,4
LOUISE,KOBIETA,4
FRIDA,KOBIETA,4
LUANA,KOBIETA,4
VERONICA,KOBIETA,4
SORAYA,KOBIETA,4
RUTA,KOBIETA,4
AISZA,KOBIETA,4
MINH ANH,KOBIETA,4
LILLIAN,KOBIETA,4
MOLLY,KOBIETA,4
