Nazwisko aktualne,Liczba
SOLECKA,3652
KOCHAŃSKA,3651
FIGURA,3646
JASKULSKA,3645
OLSZAK,3644
BIAŁECKA,3640
SZYMANOWSKA,3640
STOKŁOSA,3633
RODAK,3629
PIECHOCKA,3620
KOKOSZKA,3617
DOLATA,3614
GOLIŃSKA,3613
PIERZCHAŁA,3611
DZIURA,3608
BUGAJ,3605
BALICKA,3587
BRZESKA,3585
FERENC,3584
PASEK,3581
KRAUZE,3580
JAROSZEWSKA,3576
PARADOWSKA,3576
PŁATEK,3573
ZBOROWSKA,3572
SUŁKOWSKA,3570
WOJTASZEK,3564
BRODOWSKA,3558
MĄCZKA,3558
WASZKIEWICZ,3556
BARSZCZ,3550
OSOWSKA,3550
BOJARSKA,3549
DOLIŃSKA,3545
SZCZYGIELSKA,3537
STĘPNIEWSKA,3535
LASEK,3531
BIAŁA,3530
BIELA,3529
KOLASIŃSKA,3527
GÓRALCZYK,3520
GABRYŚ,3515
WEBER,3511
WIELGUS,3508
ŚWIERCZEK,3503
CHROBAK,3497
CICHOSZ,3494
KOSTKA,3493
KEMPA,3490
SZYMANIAK,3485
SMOLAREK,3482
PISZCZEK,3478
MORAWIEC,3476
ZARĘBSKA,3473
WALCZYK,3472
ŁAWNICZAK,3470
OSUCH,3470
WÓJCIAK,3470
SZADKOWSKA,3467
ZIMNA,3467
LACHOWICZ,3465
ORZEŁ,3465
MACH,3464
FIGIEL,3459
SZPAK,3452
GARBACZ,3450
PISKORZ,3448
ĆWIKLIŃSKA,3446
KOPROWSKA,3443
SUDOŁ,3440
TRACZYK,3438
BROŻEK,3433
GRUCA,3433
LOREK,3430
PASZEK,3430
CIOŁEK,3429
GOŁĄBEK,3427
ŁOŚ,3424
WDOWIAK,3423
KOŁODZIEJCZAK,3419
ANTONIAK,3418
ZAPAŁA,3416
BERNAT,3414
GRABSKA,3413
KOZERA,3412
SUROWIEC,3412
WĄSOWSKA,3408
BATOR,3406
GRELA,3405
STACHOWSKA,3405
BARON,3403
MROWIEC,3402
BŁAŻEJEWSKA,3400
MULARCZYK,3400
MYŚLIWIEC,3400
PIĘTA,3400
JAMRÓZ,3396
SALA,3393
GLIŃSKA,3392
OŻÓG,3392
BURDA,3384
DOBRZAŃSKA,3382
KOCHANOWSKA,3381
FILIPCZAK,3377
MODRZEJEWSKA,3377
ŚWITAŁA,3374
GALIŃSKA,3370
WACHOWIAK,3370
OLEŚ,3368
CZAPLIŃSKA,3366
ZAWISZA,3366
BUREK,3364
PÓŁTORAK,3362
MATUSIK,3360
NADOLSKA,3356
GAJ,3352
WINNICKA,3350
GAŁECKA,3349
JEDYNAK,3344
ZASADA,3343
BŁOŃSKA,3341
NIEZGODA,3341
FRANCZAK,3338
BARTOSIEWICZ,3335
KULIKOWSKA,3335
PLEWA,3335
KOZYRA,3334
ZAWISTOWSKA,3333
GAZDA,3331
GRYGIEL,3317
CZUBA,3316
OKOŃ,3315
KAZIMIERCZAK,3313
MUSIOŁ,3310
ŁACH,3308
BARTNICKA,3304
TYMIŃSKA,3304
NALEPA,3292
SZUBERT,3282
JASKÓLSKA,3278
WALIGÓRA,3278
KRASKA,3273
SOBOCIŃSKA,3270
KAPICA,3261
BERNACKA,3259
IWANOWSKA,3258
MAJDA,3257
KOŚCIELNIAK,3256
SZCZEPANEK,3254
SZWEDA,3254
KOSTRZEWSKA,3251
WŁOCH,3251
FRANKIEWICZ,3247
BIEL,3245
MIECZKOWSKA,3244
WIELGOSZ,3239
PIETRZYKOWSKA,3238
KOZICKA,3237
KLIMAS,3236
TUSZYŃSKA,3234
KRÓLIK,3231
STENCEL,3228
MATCZAK,3227
BIEŃ,3225
KLIMASZEWSKA,3225
SARNOWSKA,3225
SKWAREK,3223
MARCZEWSKA,3219
PRZYBYSZEWSKA,3216
GAJEK,3215
SITKO,3214
DOMAGALSKA,3213
GOŁASZEWSKA,3213
PASTUSZKA,3209
SKORUPSKA,3209
BOROŃ,3206
ĆWIK,3206
DUSZA,3205
MIŚ,3204
RÓG,3203
JANECZEK,3191
MŁYNARSKA,3190
OZGA,3188
DRĄG,3187
PANASIUK,3187
DANIEL,3184
GALAS,3184
NADOLNA,3182
SŁOMIŃSKA,3178
JACKIEWICZ,3177
WISZNIEWSKA,3177
BŁASZKIEWICZ,3174
PODSIADŁO,3170
OGÓREK,3169
IWANICKA,3161
LEMAŃSKA,3159
SOBCZYŃSKA,3158
WCISŁO,3156
WILCZEWSKA,3156
BOGDAN,3153
SPYCHAŁA,3152
KRAUSE,3147
STRZAŁKOWSKA,3143
ANTKOWIAK,3140
GAŁUSZKA,3139
NYCZ,3136
RYBIŃSKA,3136
SEWERYN,3131
RYCHLIK,3125
TURSKA,3124
NEUMANN,3123
ZAWIŚLAK,3122
PIEŃKOWSKA,3116
KŁOSIŃSKA,3114
RADWAŃSKA,3114
MACHNIK,3112
GÓRALSKA,3111
MIKUŁA,3111
MAKAREWICZ,3108
NOSAL,3107
KORNACKA,3105
RYBA,3105
WYDRA,3104
LUDWICZAK,3102
SŁOMKA,3100
RUMIŃSKA,3099
KASPERSKA,3098
RADZIKOWSKA,3098
KOŁACZ,3093
ZALESKA,3093
BARTKOWSKA,3089
BOJANOWSKA,3089
SZAFRAN,3088
ŁUGOWSKA,3084
WALAS,3080
KLUSKA,3078
TABOR,3077
ZIOMEK,3075
RYBACKA,3073
DUDKIEWICZ,3066
LEWCZUK,3064
FURTAK,3061
ROKITA,3061
MISZCZAK,3057
BUDA,3054
MARCINKIEWICZ,3049
CZUBAK,3048
PILARCZYK,3048
BRYŁA,3046
MIREK,3043
GUZ,3042
DĘBICKA,3039
ŚLIWKA,3039
BACZYŃSKA,3038
GROBELNA,3038
CZERWONKA,3036
CHOJECKA,3035
CIEŚLIŃSKA,3032
STOPA,3032
SOBOŃ,3030
GIZA,3025
KALITA,3024
JOŃCZYK,3022
ŚWIERCZ,3017
NAPIÓRKOWSKA,3014
DREWNIAK,3013
SZOSTEK,3001
WACHOWSKA,2993
DWORAK,2991
KOBYLIŃSKA,2987
WILIŃSKA,2987
WNĘK,2982
KALBARCZYK,2977
MIZERA,2977
ZATORSKA,2976
IWANIUK,2975
KĄKOL,2974
CYRAN,2973
WĘGLARZ,2973
KREFT,2968
MACHOWSKA,2963
PATER,2962
OSIECKA,2961
BOROWIAK,2960
RĄCZKA,2956
CZAPSKA,2953
PIWOWAR,2951
TOPOLSKA,2947
MASTALERZ,2945
SMYK,2945
OSTASZEWSKA,2942
CHYLIŃSKA,2939
KULAS,2939
KOZIŃSKA,2938
ŁUCZYŃSKA,2937
MARKOWICZ,2936
KLONOWSKA,2933
KARASIŃSKA,2932
PISARSKA,2930
CZAPIEWSKA,2926
GĄSKA,2919
KRASUSKA,2919
TARKA,2919
SZMIDT,2918
KOMAR,2915
ZIEMBA,2915
FRYDRYCH,2914
PLUCIŃSKA,2911
WASZAK,2910
MIKOŁAJEWSKA,2909
GREGORCZYK,2907
TRZASKA,2905
DAWID,2902
GWIAZDA,2902
MILER,2897
RYDZEWSKA,2895
MOTYL,2894
KLEIN,2893
MALCZEWSKA,2892
BADURA,2889
CABAN,2887
JAKUBCZAK,2887
PYKA,2886
DYLEWSKA,2885
MATUSZCZAK,2885
KUNICKA,2884
KONIECZNY,2883
MOSKWA,2883
SZEWCZUK,2882
OLENDER,2880
PIEKARZ,2880
SAKOWSKA,2880
WIDERA,2880
IWAN,2879
KONDRACKA,2879
DUL,2877
WIERZCHOWSKA,2873
TRUSZKOWSKA,2871
KIELAR,2869
BOGACKA,2868
FABISIAK,2868
SITARZ,2865
POPIOŁEK,2861
SZAFRANIEC,2858
SUCHOCKA,2852
SIUDA,2848
CZAPLICKA,2845
GRZEGORZEWSKA,2842
ZAŁĘSKA,2839
KULIGOWSKA,2836
SOSIŃSKA,2831
